DOID,Type,MeSH,UMLS_CUI
0050693,DIS,,C1857941
0050694,DIS,C537111,
0050695,DIS,,
0050696,DIS,,
0050697,DIS,D002821,
0050698,DIS,,
0050699,DIS,D057973,C0878681
0050700,DIS,D009202,"C0033141, C0036529"
0050701,DIS,,
0050702,DIS,,
0050703,DIS,,
0050704,DIS,,
0050705,DIS,,
0050706,DIS,,
0050708,DIS,,
0050709,DIS,,
0050710,DIS,,
0050711,DIS,,
0050712,DIS,,
0050713,DIS,,C4273730
0050715,DIS,,
0050716,DIS,,
0050717,DIS,,
0050718,DIS,,
0050719,DIS,,
0050720,DIS,,
0050721,DIS,,
0050722,DIS,C566618,
0050723,DIS,,
0050724,DIS,,
0050725,DIS,,
0050726,DIS,,
0050727,DIS,,
0050728,DIS,,
0050729,DIS,,
0050730,DIS,,
0050731,DIS,D014806,
0050732,DIS,,
0050733,DIS,,
0050734,DIS,,
0050735,DIS,,
0050736,DIS,,
0050737,DIS,,
0050738,DIS,,
0050739,DIS,,
0050740,DIS,C536259,
0050741,DIS,,
0050742,DIS,,
0050743,DIS,,
0050744,DIS,,
0050745,DIS,D016403,
0050746,DIS,D020522,
0050747,DIS,,
0050748,DIS,D018442,
0050749,DIS,,
0050750,DIS,,
0050751,DIS,,
0050752,DIS,,
0050753,DIS,D002524,
0050754,DIS,,
0050755,DIS,,
0050757,DIS,C535808,
0050758,DIS,,
0050759,DIS,D020967,C0553604
0050760,DIS,,
0050761,DIS,,
0050762,DIS,,
0050763,DIS,,
0050764,DIS,,
0050765,DIS,D054546,
0050766,DIS,D054546,C0393576
0050767,DIS,,
0050768,DIS,,
0050769,DIS,C536108,
0050770,DIS,C536330,
0050771,DIS,D010673,
0050772,DIS,,
0050773,DIS,D010235,C0030421
0050774,DIS,C535288,C1849453
0050775,DIS,C536637,
0050776,DIS,,
0050777,DIS,,
0050778,DIS,,C0311245
0050779,DIS,C536079,
0050780,DIS,,
0050781,DIS,,
0050782,DIS,D015043,C0043515
0050783,DIS,D020528,C0751965
0050784,DIS,D020528,C0751964
0050785,DIS,D020528,C0393666
0050786,DIS,,
0050787,DIS,C537702,
0050788,DIS,,
0050789,DIS,,
0050790,DIS,C537931,
0050791,DIS,C536665,C1849930
0050792,DIS,C563977,C1838437
0050793,DIS,,
0050794,DIS,,
0050795,DIS,D000077765,
0050796,DIS,C536010,C1860212
0050797,DIS,C536662,C1849678
0050798,DIS,,
0050799,DIS,C537622,
0050800,DIS,,
0050801,DIS,,
0050802,DIS,,C1869122
0050803,DIS,,
0050804,DIS,,
0050805,DIS,,
0050806,DIS,,
0050807,DIS,C567196,
0050809,DIS,,
0050810,DIS,C531633,
0050811,DIS,,C0701163
0050812,DIS,C567551,
0050813,DIS,,
0050814,DIS,C536958,C1854466
0050815,DIS,,
0050816,DIS,C536480,
0050817,DIS,D000080362,
0050818,DIS,,
0050819,DIS,,
0050820,DIS,D054537,C0004245
0050821,DIS,,
0050822,DIS,,
0050823,DIS,,
0050824,DIS,,
0050825,DIS,,
0050826,DIS,,C0264776
0050827,DIS,D012214,
0050828,DIS,,
0050829,DIS,,
0050830,DIS,D058729,
0050831,DIS,C536841,
0050832,DIS,,
0050833,DIS,,
0050834,DIS,D058747,"C0265354, C2936502"
0050835,DIS,D004422,"C0013423, C0154674"
0050836,DIS,,
0050837,DIS,,
0050838,DIS,,
0050839,DIS,,
0050840,DIS,,
0050841,DIS,,C0154676
0050842,DIS,,
0050843,DIS,,
0050844,DIS,,
0050845,DIS,,
0050846,DIS,,
0050847,DIS,,
0050848,DIS,,
0050849,DIS,,
0050850,DIS,,
0050851,DIS,,
0050852,DIS,,
0050853,DIS,,
0050854,DIS,D056587,C0268390
0050855,DIS,,
0050856,DIS,,
0050857,DIS,,
0050858,DIS,C536026,
0050859,DIS,,
0050860,DIS,,
0050861,DIS,,C1319315
0050862,DIS,,
0050863,DIS,,
0050864,DIS,,
0050865,DIS,,C0349566
0050866,DIS,,
0050868,DIS,,
0050869,DIS,,
0050870,DIS,,
0050871,DIS,,
0050872,DIS,,
0050873,DIS,D008224,
0050876,DIS,D016767,C0162510
0050877,DIS,,
0050879,DIS,,
0050880,DIS,,
0050881,DIS,C563476,
0050882,DIS,,
0050883,DIS,,
0050884,DIS,C566029,
0050885,DIS,,
0050886,DIS,,
0050887,DIS,C536974,
0050888,DIS,,
0050889,DIS,,
0050890,DIS,,
0050891,DIS,,
0050892,DIS,,
0050893,DIS,,
0050894,DIS,D000564,
0050895,DIS,,
0050896,DIS,,
0050897,DIS,,
0050898,DIS,,
0050899,DIS,,
0050900,DIS,,
0050901,DIS,,
0050902,DIS,D008527,"C0025149, C0206663"
0050903,DIS,,
0050904,DIS,,
0050905,DIS,,
0050906,DIS,,
0050907,DIS,,
0050908,DIS,D009190,C2713368
0050909,DIS,,
0050910,DIS,,
0050911,DIS,,
0050912,DIS,,
0050913,DIS,,
0050914,DIS,,
0050915,DIS,,
0050916,DIS,,
0050917,DIS,,
0050918,DIS,,
0050919,DIS,,
0050920,DIS,,
0050921,DIS,,
0050922,DIS,,
0050923,DIS,,
0050924,DIS,,
0050925,DIS,,
0050926,DIS,,
0050927,DIS,,
0050928,DIS,,
0050929,DIS,,
0050930,DIS,,
0050931,DIS,,
0050932,DIS,,
0050933,DIS,,
0050934,DIS,,
0050935,DIS,,
0050936,DIS,,
0050937,DIS,,
0050938,DIS,,
0050939,DIS,,
0050940,DIS,,
0050941,DIS,,
0050942,DIS,,
0050943,DIS,,
0050944,DIS,,
0050945,DIS,,
0050946,DIS,C536787,
0050947,DIS,,
0050948,DIS,,
0050949,DIS,,
0050950,DIS,,
0050951,DIS,,
0050952,DIS,C564815,
0050953,DIS,,
0050954,DIS,,
0050955,DIS,,
0050956,DIS,,
0050957,DIS,,C0752122
0050958,DIS,,
0050959,DIS,,
0050960,DIS,,
0050961,DIS,,
0050962,DIS,,
0050963,DIS,,
0050964,DIS,,
0050965,DIS,,
0050967,DIS,,
0050968,DIS,,
0050969,DIS,,
0050970,DIS,,
0050971,DIS,,
0050972,DIS,,
0050973,DIS,,
0050974,DIS,C537202,
0050975,DIS,C537203,
0050976,DIS,,
0050977,DIS,,
0050978,DIS,,
0050979,DIS,,
0050980,DIS,,
0050981,DIS,,
0050982,DIS,,
0050983,DIS,,
0050984,DIS,,
0050985,DIS,,
0050986,DIS,,
0050987,DIS,,
0050988,DIS,,
0050989,DIS,,
0050990,DIS,,
0050991,DIS,,
0050992,DIS,,
0050993,DIS,,
0050994,DIS,,
0050995,DIS,,
0050996,DIS,,
0050997,DIS,C535731,C0394006
0050998,DIS,,
0050999,DIS,,
0060000,DIS,,
0060001,DIS,,
0060002,DIS,,
0060004,DIS,,
0060005,DIS,,
0060007,DIS,,
0060008,DIS,,
0060009,DIS,,
0060010,DIS,,
0060011,DIS,,
0060012,DIS,,
0060013,DIS,D053632,C1279481
0060014,DIS,,
0060015,DIS,,
0060016,DIS,,
0060017,DIS,,
0060018,DIS,,
0060019,DIS,,
0060020,DIS,C538361,C0272167
0060021,DIS,,
0060022,DIS,,
0060023,DIS,,
0060024,DIS,,
0060025,DIS,D017098,C0162538
0060026,DIS,,
0060027,DIS,,
0060028,DIS,,
0060029,DIS,,
0060030,DIS,,
0060031,DIS,,
0060032,DIS,,
0060033,DIS,,
0060036,DIS,,
0060037,DIS,,
0060038,DIS,,
0060039,DIS,,
0060040,DIS,,C0154451
0060041,DIS,,
0060042,DIS,,
0060043,DIS,,
0060044,DIS,,
0060045,DIS,,
0060046,DIS,,
0060047,DIS,,
0060048,DIS,,
0060049,DIS,,
0060050,DIS,,
0060051,DIS,,
0060054,DIS,,
0060055,DIS,C562509,C0265259
0060056,DIS,,
0060057,DIS,,
0060058,DIS,D008223,"C0024299, C0598798"
0060060,DIS,D008228,
0060061,DIS,D016410,
0060062,DIS,,
0060063,DIS,,
0060065,DIS,,
0060066,DIS,,
0060067,DIS,,
0060068,DIS,,
0060071,DIS,,
0060072,DIS,,
0060073,DIS,,
0060074,DIS,,
0060075,DIS,,
0060076,DIS,,
0060077,DIS,,
0060078,DIS,,
0060079,DIS,,
0060080,DIS,,
0060081,DIS,,
0060082,DIS,,
0060083,DIS,,
0060084,DIS,,
0060085,DIS,,
0060086,DIS,,
0060087,DIS,,
0060088,DIS,,
0060089,DIS,,
0060090,DIS,,
0060091,DIS,,
0060092,DIS,,
0060094,DIS,,
0060095,DIS,,
0060096,DIS,,
0060097,DIS,,
0060098,DIS,D018215,
0060099,DIS,,
0060100,DIS,,
0060101,DIS,,
0060102,DIS,,
0060103,DIS,,
