,0
1359,104974
1360,65985
1361,11591339
1362,3019
1363,2955
1364,82755
1365,6032
1366,5311
1367,10309899
1368,5287541
1369,44480399
1370,42611099
1371,29243
1372,5281071
1373,3372
1374,177236
1375,6918296
1376,50902259
1377,3476
1378,9876306
1379,9935639
1380,56837361
1381,441336
1382,23993
1383,53990323
1384,30165
1385,25080293
1386,90274764
1387,160338
1388,54671203
1389,216468
1390,134823891
1391,64627
1392,90055716
1393,22570509
1394,11618368
1395,155981972
1396,24749700
1397,11249342
1398,11272610
1399,9916697
1400,132155398
1401,444254
1402,70693519
1403,5734
1404,15951505
1405,10219163
1406,49856296
1407,44717375
1408,1054
1409,27125
1410,25209437
1411,9852981
1412,3241
1413,72734520
1414,10274777
1415,9820073
1416,450601
1417,15950826
1418,2519
1419,53464642
1420,68254185
1421,11984561
1422,10288191
1423,11597697
1424,124220601
1425,11151778
1426,6169
1427,1783
1428,135398654
1429,9930049
1430,46836227
1431,10280735
1432,56841043
1433,9930048
1434,10331844
1435,11569967
1436,16088030
1437,121488186
1438,71249967
1439,50922675
1440,22591684
1441,2118
1442,53466958
1443,5288783
1444,6013
1445,44462760
1446,6419921
1447,146195299
1448,11979778
1449,164509
1450,11192
1451,4887
1452,36462
1453,9871419
1454,10458325
1455,23973
1456,16533
1457,117703516
1458,56260
1459,9829639
1460,6842999
1461,54761306
1462,67409219
1463,23681107
1464,49836020
1465,4113
1466,24729239
1467,5280793
1468,118981713
1469,58442344
1470,3410
1471,16129704
1472,5656
1473,6992140
1474,5472495
1475,9552079
1476,9280
1477,2471
1478,5754
1479,154731782
1480,134414307
1481,8711
1482,90409366
1483,54671008
1484,18343
1485,121494112
1486,56339
1487,24839622
1488,4170
1489,197033
1490,3686
1491,7010568
1492,160051
1493,91617630
1494,9989226
1495,54669979
1496,137359492
1497,135449284
1498,4594
1499,2585
1500,91754527
1501,56842198
1502,53354764
1503,5462501
1504,91820602
1505,135539077
1506,5090
1507,10427712
1508,9963056
1509,11281011
1510,25062766
1511,3021822
1512,16158207
1513,5284583
1514,4034
1515,5360373
1516,62937
1517,597741
1518,72120
1519,9826528
1520,23663870
1521,6713928
1522,59227
1523,9948102
1524,6450551
1525,4369359
1526,9887812
1527,122424426
1528,5152
1529,11519070
1530,56640146
1531,45357796
1532,71621331
1533,10095659
1534,446596
1535,24965990
1536,155491233
1537,118310260
1538,86279927
1539,8519
1540,892
1541,42548
1542,11982961
1543,9690109
1544,9892288
1545,10184653
1546,25006684
1547,49843471
1548,60823
1549,6249
1550,9852519
1551,25151504
1552,176870
1553,9884366
1554,134780
1555,24955007
1556,59568713
1557,25190990
1558,66414
1559,11567682
1560,54708673
1561,24751752
1562,60753
1563,42611257
1564,65937
1565,6883
1566,76966897
1567,16654980
1568,2405
1569,23582846
1570,118984463
1571,23144148
1572,46213929
1573,259331
1574,9826451
1575,9750
1576,6918305
1577,46907132
1578,441243
1579,43672
1580,85668777
1581,45110509
1582,11156648
1583,123608
1584,11292933
1585,5284592
1586,6269
1587,9549213
1588,446157
1589,3339
1590,170049
1591,24743471
1592,5361092
1593,4510
1594,5282340
1595,133082085
1596,11519069
1597,1615
1598,1549000
1599,145996605
1600,60748
1601,6433106
1602,60749
1603,3488
1604,31101
1605,54755438
1606,135659048
1607,23635314
1608,476861
1609,131750197
1610,65999
1611,5834
1612,9810709
1613,20279
1614,57775559
1615,9848818
1616,3000926
1617,71509318
1618,12358971
